Vivado Simulator 2015.2
Time resolution is 1 ps
Instruction[pc]=[opcode,reg,reg,reg,funct]

DataMemory[addr]=[read data, write data]

Signals C-R-Sw-Disp[clock,reset,switch0,display]
* Recall data memory addr = ALU output

Instr[    x]=[xxx,xxx,xxx,xxx,xxxx] DataMem[    x]=[    0,    x] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[   10]=[101,000,001,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[   10]=[101,000,001,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,   48] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,   48] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    1] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    1] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    4]=[111,000,000,110,1101] DataMem[    1]=[    0,    x] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    4]=[111,000,000,110,1101] DataMem[    1]=[    0,    x] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    6]=[101,000,001,100,0101] DataMem[    1]=[    0,    1] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    6]=[101,000,001,100,0101] DataMem[    1]=[    0,    1] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    8]=[110,011,000,011,1100] DataMem[   48]=[    0,65520] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    8]=[110,011,000,011,1100] DataMem[   48]=[    0,65520] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[   10]=[101,000,001,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   10]=[101,000,001,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,   48] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,   48] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    1] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    1] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    4]=[111,000,000,110,1101] DataMem[    1]=[    0,    x] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    4]=[111,000,000,110,1101] DataMem[    1]=[    0,    x] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    6]=[101,000,001,100,0101] DataMem[    1]=[    0,    1] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    6]=[101,000,001,100,0101] DataMem[    1]=[    0,    1] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    8]=[110,011,000,011,1100] DataMem[   48]=[    0,65520] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    8]=[110,011,000,011,1100] DataMem[   48]=[    0,65520] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[   10]=[101,000,001,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   10]=[101,000,001,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,   48] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,   48] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,1,0110000]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    1] C-R-Sw0-Dsp[1,0,1,0110000]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    1] C-R-Sw0-Dsp[0,0,0,0110000]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[1,0,0,0110000]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[0,0,0,0110000]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,0110000]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,0110000]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[1,0,0,0110000]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[0,0,0,0110000]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[1,0,0,0110000]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[0,0,0,0110000]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   16]=[101,111,100,000,0111] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    4]=[111,000,000,110,1101] DataMem[    0]=[    0,    x] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[    6]=[101,000,001,100,0101] DataMem[    0]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[1,0,0,1111110]
Instr[   12]=[110,111,111,011,1100] DataMem[65534]=[    0,    0] C-R-Sw0-Dsp[0,0,0,1111110]
Instr[   14]=[100,000,101,001,1100] DataMem[65530]=[    0,65534] C-R-Sw0-Dsp[1,0,0,1111110]
$finish called at time : 104 ns : File "C:/Users/lance.hwang/Downloads/06misc/hwanglance_ee361hw6/stage3/testbenchLEGLiteSingle-Stage3_edit.v" Line 71
